YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2018,6,67303,29999,Cargurus
2016,8,63398,16298,Cargurus
2014,10,81780,16900,Cargurus
2023,1,10525,41000,Cargurus
2015,9,66119,16495,Cargurus
2021,3,24601,59989,Autotrader
2020,4,51116,38600,Autotrader
2011,13,125292,7900,Autotrader
2013,11,98392,10998,Cargurus
2022,2,5132,49900,Cargurus
2019,5,29723,42197,Cargurus
2017,7,65547,25900,Craigslist
2012,12,112505,10888,Craigslist
2010,14,131719,6988,Cargurus
2018,6,55717,22991,Autotrader
2020,4,35002,28998,Autotrader
2021,3,12716,53999,Autotrader
2023,1,7556,51000,Cargurus
2018,6,46868,36887,Autotrader
