Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
,,,,Housing,Cash,Need
1.20.2024,Saturday,6,snacks,Food,Debit,Want
1.21.2024,Sunday,44,grocery,Food,Debit,Need
1.22.2024,Monday,10,Trash bag,Housing,Debit,Need
1.23.2024,Tuesday,8,Lego Bird,Entertainment and Recreation,Debit,Want
1.24.2024,Wednesday,5,Day Pass,Travel,Cash,Need
1.25.2024,Thursday,70,House Utilities,Bills,Debit,Need
1.26.2024,Friday,10,Day Pass,Travel,Debit,Want
1.29.2024,Monday,33,Table,Housing,Debit,Want
1.29.2024,Monday,5,Day Pass,Travel,Cash,Need
1.29.2024,Monday,3,French Fries,Food,Cash,Want
1.30.2024,Tuesday,0,I stay at home,,,Savings
1.31.2024,Wednesday,5,Day Pass,Travel,Cash,Need
2.1.2024,Thursday,2,Bus ticket,Travel,Debit,Need
2.2.2024,Friday,2,Bus ticket,Travel,Cash,Need
2.3.2024,Saturday,1.75,Stapler,Entertainment and Recreation,Debit,Need
2.3.2024,Saturday,3.5,Sticky Notes,Entertainment and Recreation,Debit,Need
2.3.2024,Saturday,5,Meat Balls,Food,Debit,Want
2.3.2024,Saturday,8,Listerine,Housing,Debit,Need
2.3.2024,Saturday,4.5,Pizza,Food,Debit,Want
2.3.2024,Saturday,0.25,Bag,Housing,Debit,Need
2.5.2024,Monday,2,Day Pass,Travel,Debit,Need
2.6.2024,Tuesday,14,Target,Food,Cash,Want
2.7.2024,Wednesday,2,Day Pass,Travel,Debit,Need
2.7.2024,Wednesday,13,Target,Food,Debit,Want
2.2.2024,Wednesday,14,99 Ranch,Food,Debit,Need
